UM10-10 Brogo Granodiorite Apatite 3D Semi-Track Lengths ,,,,,,,,,
,,,,,,,,,
Grain Name,Length Number,Apparent Length,Corr.  Z Depth,True Length,Azimuth,Dip,Proj C len,Angle to C,Dper
Grain04b,22,0.34,0,0.34,0.93,0,0.34,0.93,0.621
Grain04b,23,3.01,2.45,3.88,53.74,39.13,1.78,62.69,0.621
Grain04b,24,3.6,5.88,6.9,43.29,58.51,2.62,67.68,0.621
Grain04b,25,2.75,3.92,4.79,63.79,55,1.21,75.31,0.621
Grain04b,26,4.21,2.45,4.87,53.14,30.22,2.53,58.76,0.621
Grain04b,27,1.1,1.47,1.84,37.8,53.11,0.87,61.81,0.621
Grain04b,28,2.51,4.41,5.08,16.87,60.36,2.40,61.78,0.621
Grain04b,29,2.26,5.39,5.85,89.77,67.24,0.01,89.91,0.621
Grain04b,30,2.86,2.94,4.1,46.12,45.82,1.98,61.08,0.621
Grain04b,31,3.74,5.39,6.56,14.7,55.26,3.62,56.53,0.621
Grain04b,32,0.42,0.49,0.65,42.74,49.44,0.31,61.67,0.621
Grain04b,33,11.63,4.41,12.44,84.85,20.77,1.04,85.19,0.621
Grain04b,34,0.83,0.98,1.28,79.43,49.73,0.15,83.17,0.621
Grain04b,35,5.97,9.31,11.06,27.14,57.36,5.31,61.29,0.621
Grain04b,36,3.61,2.94,4.66,7.2,39.18,3.58,39.77,0.621
Grain04b,37,0.1,0.49,0.5,82.8,78.75,0.01,88.56,0.621
Grain05,1,4.57,2.94,5.43,79.09,32.77,0.86,80.83,0.582
Grain05,2,4.56,4.9,6.69,61.56,47.07,2.17,71.06,0.582
Grain05,3,9.05,7.35,11.66,0.23,39.08,9.05,39.09,0.582
Grain05,4,5.31,1.96,5.66,63.05,20.28,2.41,64.84,0.582
Grain05,5,0.83,0.98,1.29,42.42,49.63,0.61,61.64,0.582
Grain05,6,1.14,1.47,1.86,32.01,52.28,0.97,58.69,0.582
Grain05,7,2.41,2.45,3.43,45.28,45.53,1.70,60.37,0.582
Grain05,8,6.83,2.94,7.44,51.94,23.3,4.21,55.53,0.582
Grain05,9,0.77,1.96,2.11,7.67,68.53,0.76,68.80,0.582
Grain05,10,7.82,7.84,11.08,81.15,45.07,1.20,83.77,0.582
Grain05,11,1.11,1.47,1.85,86.18,52.85,0.07,87.71,0.582
Grain05,12,0.78,1.47,1.66,27.02,62.05,0.69,65.25,0.582
Grain05,13,5.23,4.9,7.17,41.06,43.15,3.94,56.63,0.582
Grain05,14,5.86,4.41,7.34,65.84,36.97,2.40,70.93,0.582
Grain05,15,9.13,6.37,11.13,73.45,34.93,2.60,76.49,0.582
Grain05,16,8.04,1.96,8.27,52.49,13.71,4.90,53.70,0.582
Grain05,17,2.94,6.37,7.02,8.51,65.26,2.91,65.53,0.582
Grain05,18,0.28,1.47,1.5,3.94,79.05,0.28,79.27,0.582
Grain05,19,2.25,2.94,3.7,82.64,52.64,0.29,85.53,0.582
Grain05,20,5.76,6.37,8.59,11.79,47.9,5.64,48.97,0.582
Grain05,21,4.12,5.39,6.78,49.27,52.64,2.69,66.64,0.582
Grain05,22,7.5,4.41,8.7,8.82,30.48,7.41,31.58,0.582
Grain05,23,2,1.96,2.8,72.02,44.43,0.62,77.26,0.582
Grain05,24,3.24,2.45,4.06,17.98,37.09,3.08,40.62,0.582
Grain05,25,2.96,2.45,3.85,83.2,39.6,0.35,84.78,0.582
Grain05,26,1.66,0.49,1.73,1.05,16.47,1.66,16.39,0.582
Grain05,27,5.96,5.88,8.37,43.68,44.64,4.31,59.00,0.582
Grain05,28,0.93,0.49,1.05,24.01,27.84,0.85,35.99,0.582
Grain05,29,2.58,3.43,4.29,52.09,53.03,1.59,68.31,0.582
Grain05,30,5.74,2.45,6.24,31.18,23.13,4.91,38.09,0.582
Grain05,31,5.18,4.41,6.8,86.88,40.45,0.28,87.62,0.582
Grain05,32,9.85,4.9,11,34.99,26.46,8.07,42.81,0.582
Grain05,33,2.77,1.96,3.39,53.14,35.29,1.66,60.65,0.582
Grain05,34,6.06,7.35,9.53,79.88,50.52,1.06,83.58,0.582
Grain05,35,0.22,0.98,1,89.54,77.46,0.00,89.90,0.582
Grain05,36,8.71,5.88,10.51,67.94,34.02,3.27,71.87,0.582
Grain05,37,0.25,0.49,0.55,74.29,63.1,0.07,82.93,0.582
Grain05,38,1.76,1.96,2.64,77.4,48.05,0.38,81.64,0.582
Grain06,1,5.71,6.37,8.56,67.76,48.15,2.16,75.38,0.627
Grain06,2,10.3,5.88,11.86,20.39,29.73,9.65,35.51,0.627
Grain06,3,3.97,1.96,4.42,74.17,26.31,1.08,75.82,0.627
Grain06,4,2.01,1.47,2.49,40.17,36.21,1.54,51.91,0.627
Grain06,5,3.08,5.39,6.21,39.82,60.27,2.37,67.61,0.627
Grain06,6,4.07,1.96,4.52,27.14,25.7,3.62,36.75,0.627
Grain06,7,11.98,3.43,12.46,6.11,15.99,11.91,17.06,0.627
Grain06,8,11.41,1.47,11.5,13.4,7.34,11.10,15.17,0.627
Grain06,9,1.79,1.47,2.32,63.57,39.33,0.80,69.91,0.627
Grain06,10,3.98,2.45,4.67,74.74,31.62,1.05,77.04,0.627
Grain06,11,2.26,1.96,2.99,55.49,40.95,1.28,64.64,0.627
Grain06,12,1.3,1.47,1.96,56.23,48.49,0.72,68.37,0.627
Grain06,13,6.67,3.43,7.5,17.1,27.21,6.38,31.79,0.627
Grain06,14,3.82,3.92,5.47,48.97,45.76,2.51,62.71,0.627
Grain06,15,5.61,5.39,7.78,7.8,43.87,5.56,44.41,0.627
Grain06,16,4.45,7.35,8.59,84.48,58.82,0.43,87.14,0.627
Grain06,17,4.49,3.92,5.96,22.02,41.15,4.16,45.70,0.627
Grain06,18,2.71,5.39,6.04,31.53,63.3,2.31,67.52,0.627
Grain06,19,8.36,6.37,10.51,62.46,37.32,3.87,68.42,0.627
Grain06,20,1,1.47,1.78,81.72,55.67,0.14,85.36,0.627
Grain06,21,3.64,1.47,3.93,0.4,21.99,3.64,22.15,0.627
Grain06,22,2.29,4.9,5.41,17.32,64.93,2.19,66.17,0.627
Grain06,23,4.23,4.41,6.11,32.08,46.22,3.58,54.08,0.627
Grain06,24,1.68,1.47,2.23,14.77,41.23,1.62,43.24,0.627
Grain06,25,3.22,2.45,4.04,1.51,37.32,3.22,37.18,0.627
Grain06,26,2.33,2.45,3.38,31.61,46.4,1.98,54.05,0.627
Grain06,27,5.04,2.94,5.83,5.05,30.27,5.02,30.56,0.627
Grain06,28,0.41,0.49,0.64,65.77,49.83,0.17,74.76,0.627
Grain06,29,2.22,0.98,2.42,29.58,23.86,1.93,37.08,0.627
Grain06,30,5.14,1.96,5.5,9.45,20.89,5.07,22.80,0.627
Grain06,31,7.62,3.43,8.35,36.25,24.25,6.15,42.61,0.627
Grain06,32,2.34,3.43,4.16,66.84,55.67,0.92,77.22,0.627
Grain06,33,4.14,5.88,7.19,84.25,54.86,0.41,86.69,0.627
Grain06,34,5.35,7.84,9.49,35.57,55.71,4.35,62.71,0.627
Grain06,35,6.77,6.37,9.29,49.18,43.29,4.43,61.55,0.627
Grain06,36,7.74,3.92,8.68,87.21,26.86,0.38,87.51,0.627
Grain06,37,3.43,2.94,4.52,54.4,40.61,2.00,63.78,0.627
Grain06,38,7.27,2.94,7.84,20.39,22.03,6.81,29.63,0.627
Grain06,39,0.85,0.98,1.3,79.81,48.97,0.15,83.36,0.627
Grain06,40,0.28,0.49,0.57,79.81,59.88,0.05,85.01,0.627
Grain06,41,2.69,3.92,4.76,27.16,55.52,2.39,59.81,0.627
Grain06,42,1.67,1.47,2.22,89.78,41.42,0.01,89.83,0.627
Grain06,43,3.08,10.29,10.75,50.79,73.32,1.95,79.56,0.627
Grain07,1,3.67,6.37,7.35,1.15,60.09,3.67,60.05,0.560
Grain07,2,0.28,0,0.28,47.67,0,0.19,47.67,0.560
