Grain Name,Length Number,Apparent Length,Corr. Z Depth,True Length,Azimuth,Dip,Proj C len,Angle to C
Grain20,22,1.187429965,2.454,2.726188901,8.446095666,64.1788073,,64.47910904
Grain20,23,3.683258003,5.726,6.808337941,69.8915074,57.2487894,,79.28099542
Grain20,24,3.975818187,4.09,5.703966187,44.77949701,45.81103973,,60.34570152
Grain20,25,6.079852026,1.636,6.296117586,57.64141596,15.06072691,,58.88000124
Grain20,26,2.795014548,0.818,2.912255196,13.11098362,16.31285096,,20.81636136
Grain20,27,4.886549894,1.636,5.153141359,66.92733993,18.51036771,,68.18420465
Grain20,28,3.244284856,3.272,4.607750886,40.64523185,45.24368965,,57.70790869
Grain20,29,5.720086342,2.454,6.224267327,80.39657127,23.22003412,,81.18095619
Grain20,30,3.631158377,1.636,3.982688434,1.63228645,24.25370446,,24.30525572
Grain20,31,3.531130676,0.818,3.624638996,34.07959025,13.04272944,,36.20657158
Grain20,32,4.607175328,0.818,4.679229477,52.59942164,10.06789864,,53.27099724
Grain20,33,8.164448925,3.272,8.79569271,0.902053783,21.83903167,,21.85674293
Grain20,34,7.298433584,1.636,7.479547365,62.2816513,12.63443979,,63.00821366
Grain20,35,6.874688202,5.726,8.946977918,43.29349626,39.79127054,,55.99490643
Grain20,36,9.707763787,8.18,12.69460822,22.73205614,40.1183109,,45.14508554
Grain21,1,6.631473624,4.09,7.791311984,40.5145399,31.66445203,,49.67899554
Grain21,2,4.884209779,4.908,6.924158372,85.60987389,45.1392001,,86.90478706
Grain21,3,7.967914051,4.09,8.956324822,28.86424047,27.17182636,,38.82016807
Grain21,4,0.531034824,1.636,1.720027321,38.12688945,72.01691108,,75.94424671
Grain21,5,8.430368535,8.18,11.7466384,60.54416409,44.13644456,,69.33381615
Grain21,6,6.468570447,7.362,9.800073858,60.42404733,48.69606713,,70.9867366
Grain21,7,0,5.726,5.726,28.66456724,90,,90
Grain21,8,5.168519405,6.544,8.338916527,77.01495688,51.69795305,,81.99447467
Grain21,9,3.531130676,5.726,6.727255001,37.19533285,58.33854323,,65.28381114
Grain21,10,0.493852355,3.272,3.309059405,73.66456724,81.41696812,,87.59424652
Grain21,11,5.95253439,6.544,8.846276146,65.54078976,47.70980824,,73.82302042
Grain21,12,9.707763787,5.726,11.27065898,72.74641588,30.53368425,,75.19845684
Grain21,13,2.408321531,4.908,5.467035449,14.86663204,63.86313369,,64.80053178
Grain21,14,2.567616712,4.908,5.539054033,83.3533538,62.38371674,,86.92439025
Grain21,15,3.422623073,4.09,5.333146229,55.47941917,50.0764919,,68.67305885
Grain22,1,1.054869093,2.454,2.671116771,68.20113026,66.73921001,,81.56703428
